client_id,client_name,delegate_name,delegate_id,client_tax_id,client_email,portal_holded_contact_id,matched_holded_contact_id,matched_holded_name,matched_holded_email,matched_holded_tax_id,match_type
91c13359-be6c-4e82-b0f9-2a5822a0215f,Cliente,,,00000000T,,,,,,,no_match
99798140-535b-4b67-a570-5f20857a2a35,Cliente,,,00000000T,,,,,,,no_match
c83e2456-51cb-40e1-974e-cb31156133a9,Cliente,,,00000000T,,,,,,,no_match
91c0baaa-f2c9-43dc-ab92-21bfcb7b2f6c,Cliente,,,00000000T,,,,,,,no_match
e6fe2aa6-e1bd-49d9-978f-014de96261aa,Cliente,,,00000000T,,,,,,,no_match
45cd2aaf-d481-4702-8737-e994dc262478,Cliente,,,00000000T,,,,,,,no_match
7d98c64c-8cee-4f7f-8db2-88ac5390757d,Cliente,,,00000000T,,,,,,,no_match
929a6f67-78f1-4334-986b-580801438c09,Cliente,,,00000000T,,,,,,,no_match
3314cad3-7e38-4084-90cc-c2567a52843e,Cliente,,,00000000T,,,,,,,no_match
4ac4b148-f3cd-4449-a8aa-8a23058cbb8e,Cliente,,,00000000T,,,,,,,no_match
59989640-cfcb-4857-a8d0-b542babf36da,Cliente,,,00000000T,,,,,,,no_match
fb948f3f-ff6f-4946-9c31-00a983551a61,Cliente,,,00000000T,,,,,,,no_match
541ea491-9645-4dc2-b213-5c0d46811dba,Cliente,,,00000000T,,,,,,,no_match
8cc8bafa-c0d8-48ad-8e69-82ec3d33c59d,Cliente,,,00000000T,,,,,,,no_match
cc3688f1-b4c7-4e7a-8521-a0466707a53a,Cliente,,,00000000T,,,,,,,no_match
dc71de49-ba3d-48f7-98c9-417f51172e30,CÓDIGO CONCEPTO PRECIO UNIDADES SUBTOTAL IVA TOTAL,,,00000000T,,,,,,,no_match
6f3e214a-80c6-4857-ad0f-8d741756d1b8,Dra Montserrat Florit Juste,Isabel Solé Mesas,d15a25b1-fbc4-49bc-a37a-c340bbc80f5e,,,,,,,,no_match
669cd64a-9a58-457f-8c77-88592f2c25dd,Dra Silvia Tutusaus,Isabel Solé Mesas,d15a25b1-fbc4-49bc-a37a-c340bbc80f5e,,,,,,,,no_match
54e4da83-40dc-4a2c-887e-a7d0e90d2a68,Dra Suni Peirè,Isabel Solé Mesas,d15a25b1-fbc4-49bc-a37a-c340bbc80f5e,,,,,,,,no_match
2ab973bc-2452-467a-b88b-5e1805911318,Gemma Morales,Isabel Solé Mesas,d15a25b1-fbc4-49bc-a37a-c340bbc80f5e,,,,,,,,no_match
393648b4-a68a-40bb-a8c1-cd5f7bb88641,Jose Anselmo Serrano,Isabel Solé Mesas,d15a25b1-fbc4-49bc-a37a-c340bbc80f5e,,,,,,,,no_match
af795e9b-e3d4-42bc-9967-574af090e8a9,Lidia Rodriguez Fdez,Isabel Solé Mesas,d15a25b1-fbc4-49bc-a37a-c340bbc80f5e,,,,,,,,no_match
f925862e-337a-442f-845e-6442c64df21e,Maria Trave,Isabel Solé Mesas,d15a25b1-fbc4-49bc-a37a-c340bbc80f5e,,,,,,,,no_match
d8f1fa78-91f6-4cd5-a357-bb5149944521,MCarme Pujadas Prims,Isabel Solé Mesas,d15a25b1-fbc4-49bc-a37a-c340bbc80f5e,,,,,,,,no_match
52f65a99-98a2-4b2a-85d7-9bbe2437cfd5,Melania Coronado Catellano,Roser Cuixart,14265ceb-2852-4149-9f62-f083f2e76230,,,,,,,,no_match
060a9be8-2878-4cf1-ba02-a16d0da8dcab,Nuria Colome,Roser Cuixart,14265ceb-2852-4149-9f62-f083f2e76230,,,,,,,,no_match
e9dcb90a-599f-444a-986a-b7ffc1063f72,Pascual Martínez,,,00000000T,,,,,,,no_match
